,card,reports,age,income,expenditure,owner,selfemp,dependents,majorcards,active
0,1,0,37.66667,4.52,124.9833,1,0,3,1,12
1,1,0,33.25,2.42,9.854167,0,0,3,1,13
2,1,0,33.66667,4.5,15.0,1,0,4,1,5
3,1,0,30.5,2.54,137.8692,0,0,0,1,7
4,1,0,32.16667,9.7867,546.5033,1,0,2,1,5
5,1,0,23.25,2.5,91.99667,0,0,0,1,1
6,1,0,27.91667,3.96,40.83333,0,0,2,1,5
7,1,0,29.16667,2.37,150.79,1,0,0,1,3
8,1,0,37.0,3.8,777.8217,1,0,0,1,6
9,1,0,28.41667,3.2,52.58,0,0,0,1,18
10,1,0,30.5,3.95,256.6642,1,0,1,1,20
11,0,0,42.0,1.98,0.0,1,0,2,1,0
12,0,0,30.0,1.73,0.0,1,0,1,0,12
13,1,0,28.83333,2.45,78.87416999999999,1,0,0,1,3
14,1,0,35.33333,1.908,42.615,1,0,2,0,5
15,1,0,41.16667,3.2,335.435,1,0,1,1,22
16,1,0,40.08333,4.0,248.7192,1,0,2,1,0
17,0,7,29.5,3.0,0.0,1,0,2,1,8
18,1,0,39.5,9.9999,548.035,1,1,0,1,0
19,0,3,45.75,3.4,0.0,0,0,0,1,10
20,1,0,35.25,2.35,43.33917,1,0,2,1,1
21,0,1,25.16667,1.875,0.0,0,0,2,0,2
22,1,0,34.25,2.0,218.52,1,0,0,1,0
23,1,1,35.75,4.0,170.6408,0,0,2,1,22
24,1,0,42.66667,5.14,37.58333,1,0,2,1,17
25,1,0,30.25,4.506,502.2017,0,0,2,1,7
26,0,0,21.66667,3.84,0.0,0,1,1,0,1
27,1,0,22.25,1.5,73.17667,0,0,0,1,6
28,0,0,34.25,2.5,0.0,1,0,1,1,0
29,1,0,40.0,5.5,1532.773,1,0,4,1,19
30,1,0,21.83333,2.0272,42.69083,0,0,0,0,5
31,1,1,29.41667,3.2,417.835,0,0,0,1,6
32,0,1,24.91667,3.15,0.0,1,0,1,1,5
33,1,0,21.0,2.4663,552.7242,1,0,1,1,10
34,1,0,23.83333,3.0,222.5392,0,0,0,1,5
35,1,0,42.83333,3.5412,541.2958,1,0,6,1,15
36,0,0,42.58333,2.2845,0.0,0,0,2,1,0
37,1,0,36.58333,5.7,568.7742,1,0,1,1,16
38,1,0,26.75,3.5,344.4708,0,0,0,1,14
39,1,0,27.75,4.6,405.3517,1,0,4,1,13
40,1,0,26.25,3.0,310.9375,1,0,0,1,10
41,1,0,23.33333,2.585,53.645,0,0,0,1,1
42,1,0,29.91667,1.51,63.91667,0,0,1,0,1
43,1,0,30.0,1.85,165.855,0,0,0,1,12
44,1,0,38.33333,2.6,9.583333,0,0,0,1,1
45,0,0,28.16667,1.8,0.0,0,1,2,1,2
46,1,0,35.58333,2.0,319.49,0,0,0,1,4
47,0,0,37.75,3.2628,0.0,0,0,1,0,1
48,1,0,26.08333,2.35,83.08334,0,0,1,0,2
49,1,0,27.75,7.0,644.8283,1,0,0,1,13
50,0,0,49.75,3.6,0.0,0,0,2,0,0
51,1,0,24.25,2.0,93.1975,0,0,0,1,12
52,1,0,20.66667,1.7,105.045,0,0,0,1,4
53,1,0,23.75,2.8,34.125,0,0,2,1,8
54,1,0,25.75,2.4,41.18917,0,0,0,1,2
55,1,1,32.91667,3.0,169.8883,0,0,0,0,5
56,1,0,34.33333,4.8,1898.033,0,0,3,1,1
57,1,0,33.25,3.18,810.3917,0,0,4,0,3
58,0,0,44.66667,1.8,0.0,0,0,2,0,0
59,1,0,21.16667,1.5,32.775,0,0,0,1,4
60,1,2,25.08333,3.0,95.79916,0,0,0,0,4
61,1,0,27.16667,2.28,27.78,0,0,3,1,5
62,1,0,26.41667,2.8,215.0692,0,0,1,1,16
63,1,0,22.0,2.7,79.51083,0,0,0,1,0
64,0,3,27.33333,4.9,0.0,1,0,2,1,15
65,0,0,26.16667,2.5,0.0,0,1,0,0,0
66,1,0,40.75,6.0,306.0317,0,1,2,1,16
67,1,0,42.08333,3.9,104.5358,0,0,0,1,2
68,0,0,21.66667,5.1,0.0,0,0,0,1,0
69,1,0,24.66667,3.074,642.4742,0,0,0,1,0
70,1,0,30.75,2.4585,308.0492,1,0,2,1,16
71,1,0,27.41667,2.0,186.3533,0,0,0,1,5
72,1,0,33.0,3.248,56.14917,0,0,2,0,2
73,1,0,37.33333,2.725,129.3733,0,0,2,1,14
74,1,0,26.58333,2.2,93.10667,0,0,0,1,10
75,0,1,24.33333,4.1,0.0,0,0,1,0,4
76,1,0,24.25,3.75,292.6633,0,0,0,1,11
77,1,0,25.25,2.88,98.46416,0,0,0,1,0
78,1,0,0.5,3.05,258.5492,0,0,1,1,5
79,1,0,32.83333,2.55,101.6833,0,0,2,1,18
80,0,0,32.75,4.0,0.0,0,0,2,1,0
81,1,1,54.58333,2.64,65.24667,1,0,1,1,19
82,1,0,19.58333,1.65,108.6075,0,0,0,1,8
83,1,0,29.33333,2.4,49.55583,0,0,0,1,4
84,0,3,40.16667,3.7099,0.0,0,0,2,1,11
85,1,0,40.75,7.24,235.5717,1,0,2,1,13
86,0,0,41.25,4.386,0.0,1,0,3,1,9
87,0,0,34.5,3.3,0.0,1,0,2,0,18
88,0,0,23.66667,2.3040000000000003,0.0,0,0,1,1,0
89,0,1,53.66667,4.18,0.0,0,0,1,1,2
90,0,2,34.0,2.4875,0.0,0,0,1,1,3
91,0,0,44.91667,2.8055,0.0,1,0,5,1,0
92,1,0,43.41667,2.4,68.38417,0,0,0,1,0
93,0,4,35.16667,1.5,0.0,0,0,1,1,9
94,0,2,35.83333,8.4,0.0,0,0,2,1,12
95,1,0,21.66667,1.56,0.0,0,0,0,1,2
96,1,1,32.66667,6.0,474.15,1,0,0,1,6
97,1,1,25.41667,3.6,234.0483,0,0,2,1,4
98,1,0,26.25,5.0,451.205,1,0,0,1,16
99,1,0,46.0,5.5,251.5208,1,0,2,1,7
100,1,1,35.0,9.9999,917.54,1,0,0,1,29
101,0,0,35.0,4.55,0.0,1,0,3,1,15
102,0,0,20.91667,2.9,0.0,0,0,0,1,3
103,1,0,25.16667,1.8,147.7233,0,0,0,0,9
104,1,0,31.25,4.2,166.7267,1,0,0,1,0
105,1,0,23.16667,3.92,741.5042,0,0,0,1,0
106,1,0,23.0,3.625,106.1692,0,0,1,0,6
107,1,0,24.83333,2.48,271.4675,0,0,0,1,0
108,1,0,40.91667,9.9999,635.0508,1,0,3,1,17
109,1,0,43.66667,10.0393,182.825,1,0,1,1,18
110,1,0,23.08333,2.95,89.37083,1,0,0,1,17
111,1,0,41.91667,5.0,1011.333,0,0,1,1,5
112,1,0,28.16667,2.4,227.3683,0,0,0,1,29
113,1,0,45.58333,13.5,115.4167,1,0,2,1,9
114,0,3,25.91667,4.0,0.0,0,0,0,0,5
115,1,1,37.33333,3.9,297.9717,0,0,0,1,4
116,1,1,37.66667,2.0,101.2625,1,0,3,1,3
117,1,0,30.25,2.15,56.69416999999999,0,0,0,1,4
118,1,0,21.25,3.0,77.35667,0,0,2,0,2
119,1,0,40.08333,4.3,122.515,0,0,0,1,4
120,0,4,23.41667,9.9999,0.0,0,0,2,1,5
121,1,0,21.83333,2.5,13.4025,0,0,0,1,3
122,1,0,22.16667,3.0,127.5342,0,0,0,1,11
123,1,0,40.83333,2.6,8.333333,1,0,0,1,3
124,1,1,18.66667,1.66,78.42834,1,0,0,1,2
125,1,0,34.33333,4.5,11.16667,1,1,4,1,6
126,1,0,25.08333,5.0,131.8783,0,0,0,1,16
127,1,0,20.08333,1.74,277.9892,0,0,0,1,11
128,1,0,24.75,1.875,126.0225,0,0,1,0,1
129,1,0,41.91667,3.0,238.8558,1,0,3,0,0
130,0,5,31.08333,4.2,0.0,0,0,3,0,19
131,0,0,53.33333,4.9,0.0,1,1,0,0,1
132,1,0,24.25,2.13,37.08333,0,0,1,1,4
133,0,1,25.41667,1.7,0.0,0,0,2,0,11
134,1,0,21.83333,1.68,156.5833,0,0,0,0,2
135,0,0,20.58333,2.64,0.0,0,0,3,1,1
136,1,0,18.41667,1.968,9.753333,0,0,0,0,2
137,1,0,22.0,3.3,108.3967,0,0,0,1,8
138,1,0,21.41667,1.5896,271.5533,0,0,0,1,16
139,1,0,42.0,3.6,53.30167,0,1,0,0,14
140,1,0,36.41667,3.0,282.5633,0,0,2,1,6
141,1,0,41.5,3.8,263.3275,0,0,0,1,4
142,1,0,26.5,3.36,6.5175,0,0,0,1,4
143,0,2,33.16667,2.3204,0.0,0,0,0,0,3
144,1,0,43.08333,7.8,43.03917,1,0,0,0,2
145,1,0,30.33333,2.5,73.7975,1,1,3,1,9
146,1,0,25.08333,1.5,15.416670000000002,0,0,1,1,7
147,1,0,35.66667,3.5822,313.3525,1,0,1,1,10
148,1,1,44.5,4.0,59.19416999999999,1,0,0,1,13
149,1,3,43.25,6.72,175.9975,1,0,3,1,27
150,1,2,50.0,4.3,129.3933,1,1,1,1,15
151,1,0,31.75,3.5,30.36917,1,0,1,1,5
152,0,1,43.25,3.95,0.0,1,0,2,1,4
153,0,5,27.16667,4.0,0.0,1,0,0,1,7
154,1,0,24.91667,2.4,461.26,0,0,1,0,1
155,1,0,49.66667,2.7,199.7333,1,0,0,0,3
156,1,0,28.33333,6.6,38.71416,0,0,2,1,7
157,1,0,26.5,2.7,92.26334,0,0,0,1,0
158,1,0,29.41667,4.1,145.3792,0,0,0,1,0
159,1,0,71.83334,7.701,400.9117,1,0,1,1,9
160,1,0,24.5,2.8,138.7133,0,0,0,1,0
161,1,0,25.08333,3.12,110.3033,0,0,2,1,6
162,1,0,24.91667,2.3,54.64666999999999,0,0,0,1,2
163,1,0,30.08333,3.67,4.5833330000000005,1,0,0,1,3
164,0,0,32.58333,6.5,0.0,1,0,0,1,6
165,1,0,23.08333,2.56,320.5167,0,0,1,1,2
166,1,0,48.91667,3.5,197.9233,1,0,0,1,9
167,1,0,25.33333,3.24,68.87083,0,0,0,1,19
168,1,0,25.33333,3.48,148.26,1,0,0,1,5
169,1,0,24.91667,2.938,68.53333,0,0,0,1,0
170,0,1,29.16667,2.475,0.0,0,0,1,0,5
171,0,5,28.58333,3.12,0.0,0,0,0,0,7
172,0,0,32.33333,2.5,0.0,0,0,1,1,0
173,1,0,26.5,3.0,121.5558,1,0,0,1,4
174,1,0,34.33333,6.0,86.22667,1,0,1,1,5
175,1,0,28.41667,2.6,105.095,1,0,0,1,6
176,1,0,23.58333,3.9,58.99083,0,0,1,1,7
177,0,1,30.83333,2.5,0.0,0,0,0,1,6
178,0,1,34.66667,3.3,0.0,0,0,3,0,3
179,1,0,31.5,5.905,123.8917,0,0,1,1,2
180,1,1,36.16667,7.8,78.54166,1,0,1,1,18
181,0,3,32.41667,2.06,0.0,0,0,0,1,8
182,1,0,31.25,5.6965,38.0625,1,1,2,0,26
183,1,0,28.08333,2.16,46.14167,0,0,2,1,0
184,0,3,41.58333,4.6,0.0,0,0,0,1,3
185,1,0,21.75,3.5,265.0142,0,0,2,1,9
186,1,0,30.25,2.55,74.72667,1,0,1,1,0
187,1,0,43.5,1.7472,107.7642,1,0,0,0,2
188,1,0,29.58333,1.95,6.5,1,0,2,1,2
189,1,0,33.75,5.0,209.0558,1,0,3,1,10
190,1,0,24.16667,2.8896,193.0675,0,0,0,0,0
191,1,0,25.41667,2.7,144.3842,1,0,1,1,8
192,1,0,24.25,4.0,358.9725,0,0,0,1,10
193,1,0,24.08333,2.3,59.1475,0,0,0,1,0
194,1,0,32.0,2.4,0.0,0,0,1,1,8
195,0,0,46.16667,2.6,0.0,0,0,0,1,8
196,1,0,21.91667,2.4,465.195,1,0,1,1,4
197,1,0,36.25,2.52,142.2425,0,0,2,0,3
198,1,0,23.83333,1.56,501.8025,0,0,0,0,1
199,1,0,49.41667,2.4,88.5925,0,1,0,1,6
200,1,0,26.08333,2.0,282.8758,0,0,0,1,2
201,1,1,29.16667,2.58,361.1617,0,0,0,1,12
202,1,0,33.0,3.15,150.1767,0,1,0,0,3
203,1,0,29.33333,2.3,76.24416,0,0,2,0,5
204,1,0,47.58333,4.65,58.245830000000005,0,0,2,1,11
205,1,0,21.58333,3.12,88.23333000000001,0,0,0,1,3
206,1,0,30.41667,2.0,7.0833330000000005,1,0,3,1,14
207,0,6,62.91667,2.55,0.0,0,0,2,0,13
208,1,1,21.58333,2.46,289.0442,0,0,1,1,11
209,1,0,30.66667,3.8,102.9767,0,0,0,0,1
210,1,0,47.75,2.6372,13.916670000000002,1,0,0,1,12
211,1,1,39.75,7.0,641.4216,1,0,2,0,22
212,0,0,53.16667,2.8,0.0,0,0,1,0,11
213,0,0,22.83333,3.1475,0.0,0,0,2,0,0
214,0,1,24.91667,6.0,0.0,0,0,2,1,2
215,1,0,25.16667,3.25,84.275,0,0,0,1,17
216,1,0,61.08333,4.32,132.8508,1,0,1,0,0
217,1,0,29.16667,2.5,159.595,0,0,0,1,21
218,1,0,35.33333,3.0,135.045,0,0,1,1,8
219,1,0,26.08333,3.5,250.5208,0,0,0,1,2
220,1,0,42.75,4.56,188.6208,0,0,0,1,11
221,1,0,27.58333,2.76,23.25,0,0,0,1,1
222,1,0,22.5,2.535,214.065,1,0,2,1,9
223,0,7,40.91667,3.2388,0.0,0,0,0,1,16
224,0,2,35.16667,3.84,0.0,0,0,0,0,2
225,1,0,32.83333,1.32,42.63083,0,0,1,1,2
226,0,0,25.83333,3.9,0.0,0,0,0,1,3
227,0,0,56.91667,2.04,0.0,1,0,0,1,11
228,1,1,30.16667,7.2904,474.5,1,0,4,1,14
229,1,0,25.08333,7.5,304.3817,1,0,0,1,8
230,1,0,34.58333,3.2604,78.75083000000001,0,0,1,1,6
231,1,0,24.66667,1.632,238.3275,0,0,1,1,5
232,1,0,40.75,8.0,311.1425,1,0,2,1,0
233,1,0,31.33333,2.2,77.04666999999999,1,0,2,1,16
234,1,0,27.83333,5.0,120.4033,1,0,1,1,0
235,1,0,30.83333,3.0,156.5725,1,0,2,1,8
236,1,0,46.25,2.0,10.58333,1,0,0,1,1
237,1,0,20.5,1.54,114.8158,0,0,0,1,2
238,0,0,28.0,1.5,0.0,0,0,1,0,0
239,1,0,51.66667,3.0,179.7658,1,0,0,1,0
240,1,1,41.83333,5.0,625.3675,1,0,3,1,7
241,1,0,51.75,4.7232,84.9025,1,0,1,0,0
242,1,0,53.5,1.5,0.0,1,0,0,0,6
243,1,0,26.08333,2.3,67.66666,0,0,0,1,0
244,1,0,20.5,1.6,111.6925,0,0,0,1,0
245,1,0,27.75,2.2,257.3017,0,0,0,0,1
246,1,0,23.25,4.32,675.7708,0,0,2,1,11
247,0,0,23.08333,2.6,0.0,0,1,0,1,7
248,1,0,20.33333,1.6752,245.3308,0,0,0,1,0
249,1,0,83.5,2.8725,13.333329999999998,1,1,0,0,11
250,1,0,24.5,2.6,149.545,0,1,0,1,2
251,1,0,33.75,2.9,253.3658,1,0,2,1,20
252,1,0,25.08333,2.65,20.47917,0,0,0,1,9
253,1,0,26.91667,1.9,41.81667,0,0,0,1,9
254,1,0,65.91666,2.95,118.7133,1,0,1,1,19
255,1,0,21.58333,3.12,225.4592,0,0,1,0,6
256,1,0,35.0,4.1125,101.2008,1,0,1,1,23
257,0,1,46.0,6.0,0.0,1,0,2,1,46
258,1,0,25.33333,2.0,10.42,0,0,0,1,19
259,0,2,35.91667,3.38,0.0,1,0,2,1,15
260,1,0,33.66667,3.5,7.166667,0,0,0,1,0
261,1,0,30.08333,2.6,12.08333,1,0,4,1,16
262,0,11,26.41667,3.5,0.0,0,0,0,0,27
263,1,1,24.58333,2.8,146.8625,0,0,0,1,11
264,1,0,37.75,5.9,324.6183,1,0,3,1,11
265,1,0,46.25,5.4,268.7242,1,0,4,1,7
266,1,0,29.5,2.8,249.1658,0,0,0,1,3
267,1,0,43.83333,3.9,50.08333,1,0,3,1,6
268,1,0,46.91667,3.4,87.63667,0,0,0,1,4
269,1,0,21.83333,2.08,203.3667,0,0,0,1,0
270,1,0,57.66667,2.5,105.125,1,0,0,1,13
271,1,1,23.66667,1.95,50.17833,0,0,0,1,4
272,1,0,25.66667,2.1,327.11,0,0,0,1,6
273,0,0,30.66667,3.0,0.0,1,0,1,1,6
274,1,1,34.83333,3.2,175.1367,1,0,2,1,8
275,0,4,37.5,2.6,0.0,0,0,0,1,14
276,1,0,40.33333,3.067,408.0825,0,0,2,0,0
277,1,0,24.41667,2.8,33.57083,0,0,0,1,11
278,1,0,31.25,4.8,404.49,1,0,0,1,13
279,0,0,41.16667,4.74,0.0,1,0,0,1,0
280,1,0,29.83333,2.8,80.45084,1,0,0,1,14
281,1,0,35.91667,4.2,8.333333,1,0,4,1,13
282,1,0,42.91667,4.0,240.2775,0,0,2,1,9
283,0,4,25.83333,1.65,0.0,0,0,0,1,5
284,1,0,34.16667,4.3,88.94667,0,0,1,1,2
285,1,0,63.5,6.4532,0.0,1,0,0,1,13
286,1,1,21.91667,3.0,11.00417,0,0,1,0,7
287,1,0,21.25,1.75,281.8067,0,0,0,0,3
288,0,0,22.33333,1.8,0.0,0,0,0,0,6
289,1,0,22.91667,2.15,17.171670000000002,0,0,0,1,1
290,0,0,23.83333,7.88,0.0,0,1,4,1,9
291,0,2,26.83333,2.6,0.0,0,0,0,1,9
292,1,0,35.83333,2.42,119.625,1,0,0,1,10
293,1,0,41.08333,2.8,86.54666999999999,1,0,0,0,6
294,1,0,40.75,3.64,94.11833,0,0,1,1,1
295,1,1,53.58333,9.9999,832.2433,1,0,3,1,3
296,0,0,20.75,1.95,0.0,0,0,0,0,1
297,1,2,34.83333,6.5,762.3784,1,0,0,1,13
298,1,0,32.16667,3.805,26.0,1,0,0,1,7
299,1,0,40.75,2.15,227.6017,0,0,1,0,16
300,1,2,38.58333,4.0,379.8658,0,0,0,1,8
301,1,0,22.41667,3.1,620.055,0,0,0,1,0
302,0,0,31.0,4.0104,0.0,0,0,0,1,0
303,1,0,29.08333,4.58,48.615,0,0,0,1,7
304,1,0,33.75,1.8,195.4508,1,0,3,1,2
305,0,4,38.0,1.7095,0.0,0,0,2,1,2
306,1,0,21.91667,2.2593,122.1917,1,0,0,1,0
307,1,0,26.41667,3.5,384.8992,0,0,2,1,0
308,1,0,40.33333,9.9999,129.3333,1,0,4,1,21
309,1,0,23.75,1.5678,0.0,1,0,1,1,0
310,1,0,37.58333,2.9623,4.5833330000000005,1,1,1,1,13
311,1,1,27.75,2.7,210.6475,0,0,0,1,13
312,1,0,21.66667,2.16,198.5483,1,0,0,1,7
313,1,0,26.16667,4.0,3.166667,0,0,2,0,0
314,0,5,31.75,4.5,0.0,1,0,0,1,11
315,0,0,33.75,1.8,0.0,1,0,2,1,13
316,1,0,27.33333,2.75,153.7267,0,0,0,1,3
317,1,0,39.75,2.42,34.15583,1,0,1,1,25
318,0,0,23.25,2.25,0.0,0,0,3,1,0
319,0,0,23.91667,1.2,0.0,0,0,0,0,0
320,0,2,28.16667,2.6,0.0,1,0,2,1,3
321,0,0,26.33333,1.5,0.0,0,0,0,1,0
322,1,0,25.33333,2.1,344.1808,1,0,1,1,19
323,1,0,0.1666667,3.24,497.7058,1,0,3,1,16
324,0,0,36.58333,2.22,0.0,1,0,2,1,0
325,0,2,34.83333,4.9,0.0,0,0,2,1,3
326,1,0,41.58333,2.3,87.105,1,0,0,1,12
327,0,2,28.33333,3.3,0.0,0,0,1,1,17
328,0,3,44.58333,2.5,0.0,1,0,2,1,18
329,1,0,34.0,2.205,80.86833,1,0,2,1,10
330,1,1,35.83333,2.4,143.3467,1,0,0,1,18
331,1,0,22.0,2.7,105.2833,0,0,0,1,7
332,1,0,34.0,3.7,583.7783,1,1,2,1,2
333,0,5,27.66667,2.12,0.0,0,0,0,1,10
334,1,0,34.5,6.2,950.8641,1,0,0,1,11
335,1,0,40.33333,2.5,105.9617,0,0,1,1,2
336,0,1,24.25,2.0,0.0,0,0,0,0,3
337,0,0,30.16667,2.4,0.0,0,1,2,1,11
338,1,0,45.0,4.03,137.0717,0,0,0,1,2
339,0,0,31.66667,3.0,0.0,0,0,0,0,0
340,1,0,24.91667,2.9,0.3125,1,0,0,1,8
341,1,0,27.83333,1.99,100.1433,1,0,1,1,5
342,1,0,56.91667,1.92,320.6758,1,1,1,1,9
343,1,1,34.41667,5.0,683.4283,1,1,1,1,6
344,0,2,32.58333,2.16,0.0,1,0,1,0,8
345,1,0,26.58333,2.2,145.6958,0,0,0,1,3
346,1,0,20.41667,2.2375,93.91917,0,0,0,1,1
347,0,2,40.0,2.4,0.0,0,0,0,1,6
348,1,0,40.16667,1.9,167.8267,1,0,3,1,17
349,1,0,25.66667,5.5,703.4067,1,0,1,1,13
350,0,0,32.08333,2.16,0.0,0,0,0,0,0
351,1,2,26.0,7.0,1292.003,0,1,0,1,31
352,0,3,36.91667,2.6,0.0,1,0,1,1,14
353,0,0,22.66667,2.5,0.0,0,0,0,1,0
354,1,0,28.25,3.9,248.9058,0,0,0,1,10
355,1,0,49.16667,5.2,71.53,1,0,1,1,6
356,1,1,24.16667,3.25,347.9483,0,0,0,0,5
357,1,0,32.66667,3.6,4.5833330000000005,0,0,0,1,2
358,1,0,32.58333,10.0,831.7317,1,0,3,1,28
359,1,0,36.0,3.7,101.7633,1,0,2,0,18
360,1,0,29.25,4.467,424.1767,1,1,0,1,5
361,0,0,36.41667,5.2,0.0,1,0,2,1,0
362,1,0,22.91667,4.8,232.2758,0,0,2,1,4
363,1,0,61.0,1.5,335.5625,1,0,1,1,24
364,1,0,54.41667,1.5,20.18083,0,0,0,0,1
365,0,0,25.66667,1.8504,0.0,0,0,0,1,0
366,1,0,30.33333,2.45,119.0,0,0,0,1,0
367,1,0,27.08333,1.89,69.0325,0,0,0,1,12
368,1,0,39.0,3.5,131.6742,1,0,2,0,13
369,0,0,24.16667,2.7885,0.0,0,0,0,1,0
370,1,0,47.08333,4.5,523.125,1,0,0,1,13
371,0,4,24.83333,2.8,0.0,0,0,0,1,7
372,0,3,32.16667,2.8,0.0,1,0,3,0,11
373,1,0,33.08333,4.5,391.4175,0,0,1,1,2
374,1,0,45.0,3.8,99.10333,1,0,1,1,3
375,0,0,32.83333,5.0,0.0,0,1,0,1,0
376,1,0,23.33333,2.7,379.2983,0,0,0,1,0
377,0,2,25.16667,2.5,0.0,0,1,1,1,18
378,1,0,26.58333,3.2,398.8508,1,0,2,1,0
379,1,0,22.91667,1.92,34.09167,1,0,2,1,21
380,1,0,45.66667,2.3080000000000003,423.1267,0,0,1,1,5
381,0,0,29.16667,1.7,0.0,0,0,1,1,0
382,1,0,48.91667,3.0,241.4233,1,0,2,0,3
383,1,0,39.75,2.45,145.7192,1,0,3,1,8
384,1,0,20.08333,3.4,0.9166667,0,0,0,0,0
385,1,0,32.91667,2.5,512.0125,0,0,1,1,9
386,1,0,39.66667,3.0,318.51,1,0,0,1,9
387,1,0,26.83333,3.15,189.6842,0,0,0,1,0
388,1,0,27.25,3.5,194.4667,0,0,0,1,0
389,1,0,19.58333,1.8,182.6092,0,0,0,1,0
390,1,0,24.08333,2.25,297.0317,0,0,1,1,9
391,1,0,22.83333,2.0,37.97417,0,0,0,1,11
392,1,0,27.08333,4.1,395.585,1,0,2,1,14
393,1,0,23.83333,2.97,204.5367,0,0,0,1,7
394,1,0,41.66667,5.5,148.3725,1,0,3,1,0
395,1,0,27.25,3.15,170.4667,1,0,2,1,9
396,1,0,46.5,3.5,122.9292,0,1,2,1,1
397,1,0,21.08333,1.5344,4.5833330000000005,0,0,0,1,11
398,1,0,32.33333,5.1,430.6925,1,0,0,1,10
399,1,0,22.58333,2.25,20.08333,0,0,0,1,4
400,1,0,25.58333,3.41,17.785,1,0,1,1,6
401,1,0,35.25,3.7,376.6342,1,0,1,1,0
402,0,0,34.58333,3.4,0.0,0,0,0,1,0
403,1,0,35.75,4.14,474.065,1,0,0,1,18
404,0,4,38.25,4.8,0.0,1,0,1,1,6
405,1,0,34.75,7.0,293.0658,1,0,3,1,0
406,1,0,28.75,7.0,631.9725,1,1,0,1,5
407,1,1,29.16667,2.2,69.79333000000001,0,0,0,1,7
408,0,0,28.58333,2.06,0.0,1,0,0,0,12
409,0,0,22.08333,1.536,0.0,0,0,0,0,3
410,0,3,36.5,4.0,0.0,1,0,0,1,12
411,1,0,43.83333,10.5,8.75,1,0,4,1,16
412,1,0,32.0,3.05,127.4725,0,0,0,0,10
413,1,1,56.91667,3.4838,182.0958,1,0,0,1,7
414,1,0,24.33333,3.0,6.1458330000000005,1,0,2,1,6
415,1,0,34.58333,5.1,412.1867,1,0,4,1,0
416,1,0,53.0,2.45,35.675,1,0,0,1,11
417,1,0,31.16667,2.0,205.9358,1,0,1,0,6
418,1,0,54.08333,4.0,43.97417,1,0,1,1,13
419,1,0,45.83333,3.48,188.105,1,1,1,1,21
420,1,0,20.83333,2.0,7.0833330000000005,1,1,0,0,3
421,1,0,27.33333,2.15,484.4392,0,0,0,1,12
422,0,0,37.58333,4.475,0.0,0,0,2,1,15
423,1,0,33.25,1.7,8.778334,0,0,0,1,17
424,1,0,28.08333,3.0,174.925,0,0,0,1,11
425,1,0,27.16667,2.3558,21.33333,1,0,2,1,5
426,1,0,50.0,4.5,360.995,1,0,2,1,11
427,1,0,48.33333,3.7,114.6017,1,0,2,0,7
428,1,0,25.25,5.5,113.2958,1,1,0,1,0
429,1,0,30.75,3.374,33.5075,1,0,0,1,9
430,1,0,63.16667,5.5,93.625,1,0,1,1,15
431,0,1,32.33333,6.0,0.0,1,0,4,1,4
432,1,0,28.41667,6.9,415.8058,1,0,0,1,0
433,1,0,28.91667,2.75,875.8884,1,0,1,1,3
434,1,0,0.5833333,2.5,173.0233,0,0,0,1,5
435,1,0,25.66667,2.0,7.416666999999999,0,0,0,1,13
436,1,0,21.91667,2.6875,165.93,0,0,3,1,12
437,1,0,27.16667,2.6796,15.583329999999998,0,0,4,1,4
438,1,0,22.5,1.8,178.9158,0,0,0,0,2
439,1,0,25.33333,1.56,44.9425,0,0,1,1,0
440,1,0,20.16667,1.5,149.5508,0,0,0,1,3
